epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8070.14,0.56313,1.35379,1.16565,0.52599,0.47426,0.4818,0.4247,0.73351,2.1464,1.19828,0.000540037,0.000540037,0.000540037
43,8261.59,0.56967,1.34478,1.17137,0.42111,0.51699,0.47707,0.42063,0.68631,2.19073,1.14237,0.000531038,0.000531038,0.000531038
44,8452.98,0.54752,1.32448,1.16285,0.52441,0.54226,0.50377,0.43523,0.68172,2.1568,1.13536,0.000522039,0.000522039,0.000522039
45,8646.54,0.57582,1.31955,1.17584,0.44924,0.55032,0.5172,0.45655,0.68821,2.29065,1.13889,0.00051304,0.00051304,0.00051304
46,8840.79,0.55415,1.30351,1.15357,0.40147,0.60058,0.52945,0.46398,0.69208,2.47273,1.15226,0.00050404,0.00050404,0.00050404
47,9033.55,0.54318,1.26005,1.15724,0.61768,0.446,0.48922,0.43763,0.676,2.12165,1.115,0.000495041,0.000495041,0.000495041
48,9225.17,0.52673,1.24625,1.13826,0.4866,0.49242,0.5103,0.44217,0.69229,2.30337,1.14201,0.000486042,0.000486042,0.000486042
49,9418.09,0.53375,1.20542,1.14287,0.55052,0.49794,0.5098,0.45149,0.66561,2.23788,1.11336,0.000477043,0.000477043,0.000477043
50,9610.58,0.52084,1.2174,1.1377,0.4221,0.5393,0.51251,0.45545,0.64678,2.1184,1.09755,0.000468044,0.000468044,0.000468044
51,9803.31,0.53373,1.21315,1.13686,0.4427,0.60815,0.54476,0.4748,0.65767,2.57441,1.10478,0.000459045,0.000459045,0.000459045
52,9995.9,0.49399,1.17271,1.12516,0.49881,0.56628,0.52104,0.45639,0.69909,2.2643,1.15767,0.000450046,0.000450046,0.000450046
53,10188.1,0.51501,1.21331,1.12971,0.46072,0.5324,0.5267,0.46031,0.70752,2.15421,1.1696,0.000441047,0.000441047,0.000441047
54,10380.1,0.52163,1.17131,1.13009,0.56767,0.54633,0.55791,0.48633,0.67845,2.17748,1.14296,0.000432048,0.000432048,0.000432048
55,10573.1,0.50752,1.17894,1.12201,0.4716,0.56895,0.54255,0.47507,0.69123,2.28274,1.148,0.000423049,0.000423049,0.000423049
56,10765.5,0.50682,1.14222,1.11578,0.52736,0.58677,0.57452,0.49706,0.70383,2.33539,1.15455,0.000414049,0.000414049,0.000414049
57,10958.7,0.50441,1.11119,1.12206,0.53263,0.55862,0.53797,0.46838,0.66518,2.12385,1.1246,0.00040505,0.00040505,0.00040505
58,11150.9,0.49278,1.10845,1.11507,0.50711,0.58675,0.57413,0.50287,0.70217,1.76672,1.10594,0.000396051,0.000396051,0.000396051
59,11344,0.49571,1.13947,1.11012,0.55542,0.5657,0.5292,0.45983,0.71143,2.18606,1.15406,0.000387052,0.000387052,0.000387052
60,11536.3,0.4832,1.08306,1.10073,0.55794,0.53093,0.55009,0.4886,0.66628,2.35991,1.10033,0.000378053,0.000378053,0.000378053
61,11728.7,0.47783,1.06378,1.1042,0.5897,0.52539,0.56696,0.50238,0.61746,2.52128,1.06809,0.000369054,0.000369054,0.000369054
62,11921.8,0.47613,1.0655,1.10316,0.67921,0.45226,0.56493,0.49608,0.65177,2.28677,1.12971,0.000360055,0.000360055,0.000360055
63,12113.9,0.47989,1.06613,1.11246,0.62017,0.54021,0.57254,0.50829,0.64736,2.11938,1.09035,0.000351056,0.000351056,0.000351056
64,12307.4,0.48532,1.05946,1.10555,0.64573,0.53697,0.57464,0.50283,0.65016,1.88017,1.11793,0.000342057,0.000342057,0.000342057
65,12498.9,0.46649,1.03999,1.09907,0.58429,0.53057,0.56737,0.50054,0.66118,1.85116,1.10915,0.000333058,0.000333058,0.000333058
66,12691.6,0.47086,1.01033,1.09385,0.62584,0.5046,0.5589,0.49903,0.67512,1.96645,1.11505,0.000324058,0.000324058,0.000324058
67,12884.1,0.46596,0.98719,1.09757,0.6319,0.49927,0.55439,0.48919,0.63209,2.43857,1.08458,0.000315059,0.000315059,0.000315059
68,13076.4,0.47211,0.99418,1.09781,0.50115,0.64696,0.55753,0.48446,0.6623,1.84984,1.12011,0.00030606,0.00030606,0.00030606
69,13269.5,0.44088,0.93703,1.08499,0.48722,0.60297,0.55578,0.48345,0.63936,1.74453,1.09115,0.000297061,0.000297061,0.000297061
70,13462.5,0.46083,0.99,1.09723,0.62252,0.53412,0.5761,0.50297,0.66052,2.03166,1.11227,0.000288062,0.000288062,0.000288062
71,13655.6,0.44013,0.97176,1.07031,0.74265,0.48071,0.57451,0.50698,0.63644,2.46241,1.10112,0.000279063,0.000279063,0.000279063
72,13848.2,0.44797,0.96064,1.08307,0.53583,0.58645,0.56906,0.50483,0.6338,1.7253,1.08223,0.000270064,0.000270064,0.000270064
73,14040.4,0.43759,0.94715,1.06945,0.6228,0.51971,0.57404,0.50794,0.64535,2.03173,1.09643,0.000261065,0.000261065,0.000261065
74,14232.5,0.42347,0.93304,1.06159,0.56128,0.59002,0.58613,0.51507,0.61042,1.92613,1.06453,0.000252066,0.000252066,0.000252066
75,14425.8,0.42449,0.89385,1.06925,0.5408,0.59961,0.57379,0.51174,0.63155,2.2148,1.07573,0.000243067,0.000243067,0.000243067
76,14618.6,0.44172,0.90761,1.07927,0.56452,0.6133,0.57201,0.50483,0.63657,2.09593,1.09606,0.000234068,0.000234068,0.000234068
77,14811.7,0.44192,0.89547,1.07986,0.62093,0.57253,0.60663,0.53536,0.62454,1.77651,1.06989,0.000225068,0.000225068,0.000225068
78,15003.4,0.43658,0.86896,1.07223,0.60133,0.536,0.58291,0.51781,0.6144,1.85754,1.07669,0.000216069,0.000216069,0.000216069
79,15195.8,0.41366,0.85834,1.06164,0.5898,0.58124,0.58666,0.52925,0.58176,1.65773,1.02085,0.00020707,0.00020707,0.00020707
80,15388,0.40222,0.85359,1.05185,0.53696,0.62385,0.60731,0.53867,0.61816,1.75949,1.07704,0.000198071,0.000198071,0.000198071
81,15580.9,0.40473,0.8456,1.0489,0.53076,0.59692,0.58598,0.52069,0.61753,1.7911,1.07643,0.000189072,0.000189072,0.000189072
82,15772.8,0.41131,0.84995,1.05494,0.63289,0.54942,0.59808,0.52478,0.62948,1.87198,1.08188,0.000180073,0.000180073,0.000180073
83,15963.8,0.40046,0.80298,1.05035,0.56393,0.59509,0.6029,0.534,0.62169,1.59957,1.08716,0.000171074,0.000171074,0.000171074
84,16154.3,0.39464,0.8019,1.05141,0.65889,0.50584,0.58464,0.51753,0.62265,1.74688,1.0673,0.000162075,0.000162075,0.000162075
85,16347.1,0.41704,0.81283,1.05679,0.55677,0.59292,0.59116,0.51872,0.62386,1.56232,1.07338,0.000153076,0.000153076,0.000153076
86,16539.4,0.40105,0.75833,1.0504,0.5557,0.59845,0.58602,0.52368,0.61107,1.7096,1.06604,0.000144077,0.000144077,0.000144077
87,16732.4,0.38847,0.75647,1.04492,0.60256,0.59103,0.59376,0.52576,0.61138,1.60844,1.07003,0.000135077,0.000135077,0.000135077
88,16923.7,0.3926,0.77127,1.04601,0.69769,0.5359,0.6035,0.52389,0.60692,1.91594,1.04827,0.000126078,0.000126078,0.000126078
89,17116.4,0.38094,0.73961,1.04479,0.66674,0.57292,0.60165,0.52644,0.59169,1.83631,1.04921,0.000117079,0.000117079,0.000117079
90,17308.4,0.36918,0.71927,1.02355,0.60341,0.59846,0.60033,0.52694,0.60182,1.79428,1.05735,0.00010808,0.00010808,0.00010808
91,17502.3,0.33696,0.62876,1.03421,0.65576,0.56039,0.57917,0.50969,0.61665,1.95125,1.06395,9.9081e-05,9.9081e-05,9.9081e-05
92,17693.4,0.33394,0.58688,1.03084,0.68074,0.55991,0.59293,0.52228,0.62534,1.95287,1.08117,9.00819e-05,9.00819e-05,9.00819e-05
93,17882.4,0.32141,0.6391,1.00103,0.65424,0.59605,0.60557,0.53393,0.60969,1.91229,1.06313,8.10828e-05,8.10828e-05,8.10828e-05
94,18071.3,0.29963,0.51887,0.99868,0.66938,0.609,0.60738,0.52712,0.60517,1.76002,1.06249,7.20837e-05,7.20837e-05,7.20837e-05
95,18260.7,0.31965,0.50355,1.03212,0.62997,0.60081,0.59282,0.52658,0.60307,1.58737,1.0719,6.30846e-05,6.30846e-05,6.30846e-05
96,18449.3,0.31754,0.53057,1.0286,0.68017,0.57778,0.60116,0.53142,0.60243,1.70377,1.05914,5.40855e-05,5.40855e-05,5.40855e-05
97,18639.5,0.30674,0.49494,1.01516,0.65098,0.60365,0.60147,0.53142,0.59775,1.62337,1.06537,4.50864e-05,4.50864e-05,4.50864e-05
98,18829.1,0.29456,0.55282,0.98925,0.63903,0.58393,0.60122,0.53108,0.60287,1.62227,1.0633,3.60873e-05,3.60873e-05,3.60873e-05
99,19017.6,0.28649,0.51033,0.98804,0.63341,0.61211,0.60369,0.53095,0.59691,1.55756,1.05881,2.70882e-05,2.70882e-05,2.70882e-05
100,19206.1,0.29667,0.50969,0.99811,0.61488,0.62285,0.61048,0.53751,0.59718,1.54318,1.05821,1.80891e-05,1.80891e-05,1.80891e-05
