epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,6262.89,0.86784,2.00224,0.91451,1.12077,0.53173,0.44759,0.43002,0.29491,0.48731,0.40485,0.36774,0.22568,1.02345,2.27589,1.1027,1.20541,0.000342666,0.000342666,0.000342666
30,6476.31,0.85404,1.94517,0.89665,1.11652,0.58941,0.41418,0.4267,0.28927,0.55239,0.38392,0.37441,0.22539,1.0282,2.28652,1.10947,1.21649,0.00032744,0.00032744,0.00032744
31,6691.26,0.84608,1.94106,0.87738,1.11183,0.59393,0.42824,0.45919,0.3175,0.53345,0.39365,0.38622,0.23061,1.02119,2.3044,1.09057,1.21086,0.000312214,0.000312214,0.000312214
32,6906.87,0.84212,1.93349,0.88691,1.10446,0.56566,0.43181,0.44294,0.30743,0.52245,0.39225,0.37985,0.23077,1.01572,2.26914,1.09408,1.20549,0.000296988,0.000296988,0.000296988
33,7122,0.83585,1.90315,0.85451,1.1011,0.60311,0.43283,0.45207,0.30662,0.57461,0.4075,0.41134,0.25504,1.02758,2.28535,1.09036,1.22141,0.000281762,0.000281762,0.000281762
34,7335.87,0.8345,1.90087,0.85977,1.09935,0.54751,0.42994,0.45807,0.31011,0.50603,0.40175,0.39879,0.23828,1.01565,2.26495,1.0738,1.21351,0.000266535,0.000266535,0.000266535
35,7550.33,0.81845,1.87644,0.83246,1.09134,0.60344,0.44684,0.46901,0.31879,0.57337,0.40459,0.39561,0.23773,1.01202,2.28241,1.0767,1.20325,0.000251309,0.000251309,0.000251309
36,7764.39,0.81666,1.86375,0.82354,1.08649,0.58198,0.44967,0.4583,0.31479,0.53333,0.40787,0.40422,0.24593,1.01366,2.30173,1.07193,1.20413,0.000236083,0.000236083,0.000236083
37,7978.54,0.81474,1.83499,0.82003,1.08127,0.55565,0.45274,0.45436,0.31789,0.53753,0.43401,0.42248,0.26815,1.01208,2.26258,1.06923,1.20392,0.000220857,0.000220857,0.000220857
38,8194.42,0.80033,1.81204,0.7923,1.07795,0.59187,0.46903,0.46615,0.32678,0.57551,0.43297,0.41725,0.25462,0.99313,2.24647,1.04071,1.18731,0.000205631,0.000205631,0.000205631
39,8409.63,0.79324,1.80939,0.78872,1.07162,0.59146,0.46467,0.47525,0.33824,0.54158,0.4349,0.42271,0.26513,0.99073,2.24889,1.04731,1.19117,0.000190404,0.000190404,0.000190404
40,8624.15,0.78293,1.76411,0.77367,1.06747,0.57677,0.45925,0.46308,0.32501,0.53694,0.41404,0.38866,0.23649,0.99188,2.26194,1.0485,1.1906,0.000175178,0.000175178,0.000175178
41,8831.49,0.79029,1.67651,0.73931,1.07244,0.59815,0.4237,0.44833,0.30892,0.56543,0.39194,0.39967,0.2428,1.0029,2.29258,1.05993,1.1997,0.000159952,0.000159952,0.000159952
42,9036.18,0.76747,1.63545,0.70429,1.05999,0.55684,0.47462,0.4803,0.33707,0.56302,0.43748,0.42425,0.26765,1.00151,2.26648,1.06103,1.20035,0.000144726,0.000144726,0.000144726
43,9241.34,0.76465,1.60459,0.6811,1.05087,0.62773,0.44738,0.48366,0.34036,0.53669,0.44908,0.43307,0.27985,1.00425,2.29928,1.05211,1.19999,0.0001295,0.0001295,0.0001295
44,9443.16,0.75632,1.60224,0.67213,1.04797,0.65191,0.44126,0.48057,0.3383,0.56663,0.43638,0.42789,0.26645,0.99656,2.28148,1.05708,1.19083,0.000114273,0.000114273,0.000114273
45,9644.91,0.74464,1.56475,0.65754,1.03591,0.60106,0.4596,0.47245,0.33432,0.57988,0.41954,0.42206,0.26756,0.99278,2.27729,1.05729,1.18774,9.90472e-05,9.90472e-05,9.90472e-05
46,9850.19,0.73505,1.54762,0.63847,1.03405,0.5843,0.46346,0.47687,0.34172,0.58776,0.41754,0.42667,0.26503,0.99583,2.29992,1.05365,1.19722,8.3821e-05,8.3821e-05,8.3821e-05
47,10054.5,0.72255,1.52778,0.62669,1.02142,0.58707,0.47325,0.4748,0.33812,0.56559,0.43493,0.42552,0.27045,0.99603,2.28761,1.05747,1.19505,6.85948e-05,6.85948e-05,6.85948e-05
48,10258.9,0.72282,1.50717,0.62154,1.02433,0.57256,0.47726,0.477,0.34056,0.54246,0.43914,0.42633,0.26949,0.99195,2.29029,1.05252,1.19588,5.33686e-05,5.33686e-05,5.33686e-05
49,10463.6,0.7122,1.49971,0.60615,1.0163,0.59237,0.47281,0.48189,0.34491,0.57094,0.43121,0.42813,0.27224,0.98724,2.30039,1.04507,1.1908,3.81424e-05,3.81424e-05,3.81424e-05
50,10669.1,0.71114,1.48622,0.60174,1.01977,0.57928,0.48006,0.48039,0.3422,0.55924,0.4367,0.42592,0.26997,0.99013,2.29147,1.04915,1.19353,2.29162e-05,2.29162e-05,2.29162e-05
